difference,difference_memory,element1,element2,period,position1,position2
-3,0,agent-1,agent-3,33,5,2
-3,0,agent-1,agent-3,34,5,2
-3,0,agent-1,agent-3,35,5,2
-3,0,agent-1,agent-3,36,5,2
-2,0,agent-1,agent-3,37,5,3
-3,0,agent-1,agent-3,38,5,2
-3,0,agent-1,agent-3,39,5,2
-2,0,agent-1,agent-3,40,4,2
-2,0,agent-1,agent-3,41,4,2
-2,0,agent-1,agent-3,42,4,2
-3,0,agent-1,agent-3,43,5,2
-3,0,agent-1,agent-3,44,5,2
-3,0,agent-1,agent-3,45,5,2
-2,0,agent-1,agent-3,46,5,3
-2,0,agent-1,agent-3,47,5,3
-3,0,agent-1,agent-3,48,5,2
-2,0,agent-1,agent-3,49,4,2
2,0,agent-1,agent-4,1,1,3
1,0,agent-1,agent-4,2,4,5
-1,0,agent-1,agent-4,3,3,2
-3,0,agent-1,agent-4,4,5,2
1,0,agent-1,agent-4,5,4,5
-1,0,agent-1,agent-4,6,5,4
-1,0,agent-1,agent-4,7,4,3
-1,0,agent-1,agent-4,8,4,3
1,0,agent-1,agent-4,9,3,4
2,0,agent-1,agent-4,10,3,5
1,0,agent-1,agent-4,11,4,5
1,0,agent-1,agent-4,12,4,5
-1,0,agent-1,agent-4,13,4,3
1,0,agent-1,agent-4,14,4,5
-1,0,agent-1,agent-4,15,5,4
1,0,agent-1,agent-4,16,4,5
1,0,agent-1,agent-4,17,4,5
1,0,agent-1,agent-4,18,4,5
1,0,agent-1,agent-4,19,4,5
1,0,agent-1,agent-4,20,4,5
-1,0,agent-1,agent-4,21,5,4
-1,0,agent-1,agent-4,22,5,4
-1,0,agent-1,agent-4,23,5,4
1,0,agent-1,agent-4,24,4,5
1,0,agent-1,agent-4,25,4,5
-1,0,agent-1,agent-4,26,5,4
-2,0,agent-1,agent-4,27,5,3
-1,0,agent-1,agent-4,28,5,4
-1,0,agent-1,agent-4,29,5,4
-1,0,agent-1,agent-4,30,5,4
-1,0,agent-1,agent-4,31,5,4
-2,0,agent-1,agent-4,32,5,3
-1,0,agent-1,agent-4,33,5,4
-1,0,agent-1,agent-4,34,5,4
-1,0,agent-1,agent-4,35,5,4
-1,0,agent-1,agent-4,36,5,4
-1,0,agent-1,agent-4,37,5,4
-1,0,agent-1,agent-4,38,5,4
-1,0,agent-1,agent-4,39,5,4
1,0,agent-1,agent-4,40,4,5
1,0,agent-1,agent-4,41,4,5
1,0,agent-1,agent-4,42,4,5
-1,0,agent-1,agent-4,43,5,4
-1,0,agent-1,agent-4,44,5,4
-1,0,agent-1,agent-4,45,5,4
-1,0,agent-1,agent-4,46,5,4
-1,0,agent-1,agent-4,47,5,4
-1,0,agent-1,agent-4,48,5,4
1,0,agent-1,agent-4,49,4,5
-3,0,agent-2,agent-0,1,5,2
-1,0,agent-2,agent-0,2,2,1
-3,0,agent-2,agent-0,3,4,1
-3,0,agent-2,agent-0,4,4,1
-1,0,agent-2,agent-0,5,2,1
-2,0,agent-2,agent-0,6,3,1
-4,0,agent-2,agent-0,7,5,1
-4,0,agent-2,agent-0,8,5,1
-1,0,agent-2,agent-0,9,2,1
-3,0,agent-2,agent-0,10,4,1
-2,0,agent-2,agent-0,11,3,1
-2,0,agent-2,agent-0,12,3,1
-4,0,agent-2,agent-0,13,5,1
-2,0,agent-2,agent-0,14,3,1
-2,0,agent-2,agent-0,15,3,1
-2,0,agent-2,agent-0,16,3,1
-2,0,agent-2,agent-0,17,3,1
-2,0,agent-2,agent-0,18,3,1
-2,0,agent-2,agent-0,19,3,1
-2,0,agent-2,agent-0,20,3,1
-2,0,agent-2,agent-0,21,3,1
-2,0,agent-2,agent-0,22,3,1
-2,0,agent-2,agent-0,23,3,1
-2,0,agent-2,agent-0,24,3,1
-1,0,agent-2,agent-0,25,2,1
-2,0,agent-2,agent-0,26,3,1
-3,0,agent-2,agent-0,27,4,1
-2,0,agent-2,agent-0,28,3,1
-2,0,agent-2,agent-0,29,3,1
-2,0,agent-2,agent-0,30,3,1
-1,0,agent-2,agent-0,31,2,1
-3,0,agent-2,agent-0,32,4,1
-2,0,agent-2,agent-0,33,3,1
-2,0,agent-2,agent-0,34,3,1
-2,0,agent-2,agent-0,35,3,1
-2,0,agent-2,agent-0,36,3,1
-1,0,agent-2,agent-0,37,2,1
-2,0,agent-2,agent-0,38,3,1
-2,0,agent-2,agent-0,39,3,1
-2,0,agent-2,agent-0,40,3,1
-2,0,agent-2,agent-0,41,3,1
-2,0,agent-2,agent-0,42,3,1
-2,0,agent-2,agent-0,43,3,1
-2,0,agent-2,agent-0,44,3,1
-2,0,agent-2,agent-0,45,3,1
-1,0,agent-2,agent-0,46,2,1
-1,0,agent-2,agent-0,47,2,1
-2,0,agent-2,agent-0,48,3,1
-2,0,agent-2,agent-0,49,3,1
-4,0,agent-2,agent-1,1,5,1
2,0,agent-2,agent-1,2,2,4
-1,0,agent-2,agent-1,3,4,3
1,0,agent-2,agent-1,4,4,5
2,0,agent-2,agent-1,5,2,4
2,0,agent-2,agent-1,6,3,5
-1,0,agent-2,agent-1,7,5,4
-1,0,agent-2,agent-1,8,5,4
1,0,agent-2,agent-1,9,2,3
-1,0,agent-2,agent-1,10,4,3
1,0,agent-2,agent-1,11,3,4
1,0,agent-2,agent-1,12,3,4
-1,0,agent-2,agent-1,13,5,4
1,0,agent-2,agent-1,14,3,4
2,0,agent-2,agent-1,15,3,5
1,0,agent-2,agent-1,16,3,4
1,0,agent-2,agent-1,17,3,4
1,0,agent-2,agent-1,18,3,4
1,0,agent-2,agent-1,19,3,4
1,0,agent-2,agent-1,20,3,4
2,0,agent-2,agent-1,21,3,5
2,0,agent-2,agent-1,22,3,5
2,0,agent-2,agent-1,23,3,5
1,0,agent-2,agent-1,24,3,4
2,0,agent-2,agent-1,25,2,4
2,0,agent-2,agent-1,26,3,5
1,0,agent-2,agent-1,27,4,5
2,0,agent-2,agent-1,28,3,5
2,0,agent-2,agent-1,29,3,5
2,0,agent-2,agent-1,30,3,5
3,0,agent-2,agent-1,31,2,5
1,0,agent-2,agent-1,32,4,5
2,0,agent-2,agent-1,33,3,5
2,0,agent-2,agent-1,34,3,5
2,0,agent-2,agent-1,35,3,5
2,0,agent-2,agent-1,36,3,5
3,0,agent-2,agent-1,37,2,5
2,0,agent-2,agent-1,38,3,5
2,0,agent-2,agent-1,39,3,5
1,0,agent-2,agent-1,40,3,4
1,0,agent-2,agent-1,41,3,4
1,0,agent-2,agent-1,42,3,4
2,0,agent-2,agent-1,43,3,5
2,0,agent-2,agent-1,44,3,5
2,0,agent-2,agent-1,45,3,5
3,0,agent-2,agent-1,46,2,5
3,0,agent-2,agent-1,47,2,5
2,0,agent-2,agent-1,48,3,5
1,0,agent-2,agent-1,49,3,4
-1,0,agent-2,agent-3,1,5,4
1,0,agent-2,agent-3,2,2,3
1,0,agent-2,agent-3,3,4,5
-1,0,agent-2,agent-3,4,4,3
1,0,agent-2,agent-3,5,2,3
-1,0,agent-2,agent-3,6,3,2
-3,0,agent-2,agent-3,7,5,2
-3,0,agent-2,agent-3,8,5,2
3,0,agent-2,agent-3,9,2,5
-2,0,agent-2,agent-3,10,4,2
-1,0,agent-2,agent-3,11,3,2
-1,0,agent-2,agent-3,12,3,2
-3,0,agent-2,agent-3,13,5,2
-1,0,agent-2,agent-3,14,3,2
-1,0,agent-2,agent-3,15,3,2
-1,0,agent-2,agent-3,16,3,2
-1,0,agent-2,agent-3,17,3,2
-1,0,agent-2,agent-3,18,3,2
-1,0,agent-2,agent-3,19,3,2
-1,0,agent-2,agent-3,20,3,2
-1,0,agent-2,agent-3,21,3,2
-1,0,agent-2,agent-3,22,3,2
-1,0,agent-2,agent-3,23,3,2
-1,0,agent-2,agent-3,24,3,2
1,0,agent-2,agent-3,25,2,3
-1,0,agent-2,agent-3,26,3,2
-2,0,agent-2,agent-3,27,4,2
-1,0,agent-2,agent-3,28,3,2
-1,0,agent-2,agent-3,29,3,2
-1,0,agent-2,agent-3,30,3,2
1,0,agent-2,agent-3,31,2,3
-2,0,agent-2,agent-3,32,4,2
-1,0,agent-2,agent-3,33,3,2
-1,0,agent-2,agent-3,34,3,2
-1,0,agent-2,agent-3,35,3,2
-1,0,agent-2,agent-3,36,3,2
1,0,agent-2,agent-3,37,2,3
-1,0,agent-2,agent-3,38,3,2
-1,0,agent-2,agent-3,39,3,2
-1,0,agent-2,agent-3,40,3,2
-1,0,agent-2,agent-3,41,3,2
-1,0,agent-2,agent-3,42,3,2
-1,0,agent-2,agent-3,43,3,2
-1,0,agent-2,agent-3,44,3,2
-1,0,agent-2,agent-3,45,3,2
1,0,agent-2,agent-3,46,2,3
1,0,agent-2,agent-3,47,2,3
-1,0,agent-2,agent-3,48,3,2
-1,0,agent-2,agent-3,49,3,2
-2,0,agent-2,agent-4,1,5,3
3,0,agent-2,agent-4,2,2,5
-2,0,agent-2,agent-4,3,4,2
-2,0,agent-2,agent-4,4,4,2
3,0,agent-2,agent-4,5,2,5
1,0,agent-2,agent-4,6,3,4
-2,0,agent-2,agent-4,7,5,3
